id,state,fmf,population,rate
1,Alabama,140,4779736,2.929032064
2,Alaska,31,710231,4.364777094
3,Arizona,81,6392017,1.267205641
4,Arkansas,92,2915918,3.155095582
5,California,759,37253956,2.037367521
6,Colorado,157,5029196,3.121771353
7,Connecticut,156,3574097,4.364738842
8,Delaware,29,897934,3.229636031
9,District of Columbia,35,601723,5.816629911
10,Florida,224,18801310,1.191406343
11,Georgia,138,9687653,1.424493631
12,Hawaii,95,1360301,6.98374845
13,Idaho,69,1567582,4.401683612
14,Illinois,336,12830632,2.618733044
15,Indiana,171,6483802,2.637341486
16,Iowa,229,3046355,7.517180368
17,Kansas,92,2853118,3.224542413
18,Kentucky,131,4339367,3.01887349
19,Louisiana,66,4533372,1.455869935
20,Maine,93,1328361,7.001108885
21,Maryland,147,5773552,2.546092942
22,Massachusetts,289,6547629,4.413811473
23,Michigan,330,9883640,3.338850869
24,Minnesota,186,5303925,3.506836918
25,Mississippi,82,2967297,2.763457787
26,Missouri,246,5988927,4.10758054
27,Montana,66,989415,6.67060839
28,Nebraska,93,1826341,5.092148728
29,Nevada,46,2700551,1.703356093
30,New Hampshire,96,1316470,7.292228459
31,New Jersey,139,8791894,1.581001773
32,New Mexico,69,2059179,3.350850023
33,New York,637,19378102,3.287215642
34,North Carolina,229,9535483,2.401556376
35,North Dakota,63,672591,9.366762267
36,Ohio,300,11536504,2.600441174
37,Oklahoma,69,3751351,1.839337348
38,Oregon,173,3831074,4.515704996
39,Pennsylvania,290,12702379,2.283036902
40,Rhode Island,57,1052567,5.415332231
41,South Carolina,127,4625364,2.74572985
42,South Dakota,38,814180,4.667272593
43,Tennessee,99,6346105,1.560012007
44,Texas,183,25145561,0.727762646
45,Utah,40,2763885,1.447238217
46,Vermont,100,625741,15.98105286
47,Virginia,246,8001024,3.07460645
48,Washington,159,6724540,2.364474001
49,West Virginia,90,1852944,4.857135456
50,Wisconsin,286,5686986,5.02902592
51,Wyoming,41,563626,7.274327302
